,date,time,epochId,moteId,temp,humidity,light,voltage
1,2004-02-28,00:59:16.02785,3,1.0,19.9884,37.0933,45.08,2.69964
2,2004-02-28,01:03:16.33393,11,1.0,19.3024,38.4629,45.08,2.68742
3,2004-02-28,01:06:16.013453,17,1.0,19.1652,38.8039,45.08,2.68742
4,2004-02-28,01:06:46.778088,18,1.0,19.175,38.8379,45.08,2.69964
5,2004-02-28,01:08:45.992524,22,1.0,19.1456,38.9401,45.08,2.68742
6,2004-02-28,01:09:22.323858,23,1.0,19.1652,38.872,45.08,2.68742
7,2004-02-28,01:09:46.109598,24,1.0,19.1652,38.8039,45.08,2.68742
8,2004-02-28,01:10:16.6789,25,1.0,19.1456,38.8379,45.08,2.69964
9,2004-02-28,01:10:46.250524,26,1.0,19.1456,38.872,45.08,2.68742
10,2004-02-28,01:11:46.941288,28,1.0,19.1456,38.9401,45.08,2.69964
11,2004-02-28,01:12:46.251377,30,1.0,19.1358,38.9061,45.08,2.68742
12,2004-02-28,01:14:16.63127,33,1.0,19.1162,38.8039,45.08,2.69964
13,2004-02-28,01:14:46.569352,34,1.0,19.1162,38.872,45.08,2.69964
14,2004-02-28,01:15:16.649556,35,1.0,19.1064,39.0082,45.08,2.69964
15,2004-02-28,01:16:16.343708,37,1.0,19.1064,38.872,43.24,2.69964
16,2004-02-28,01:16:46.508622,38,1.0,19.0966,38.8039,43.24,2.69964
17,2004-02-28,01:17:46.427446,40,1.0,19.0966,38.7357,43.24,2.69964
18,2004-02-28,01:18:16.468248,41,1.0,19.0868,38.8039,43.24,2.69964
19,2004-02-28,01:20:16.10774,45,1.0,19.0672,38.9061,43.24,2.68742
20,2004-02-28,01:20:46.033312,46,1.0,19.0672,38.872,43.24,2.69964
21,2004-02-28,01:21:16.648189,47,1.0,19.0672,38.9061,43.24,2.69964
22,2004-02-28,01:22:16.02639,49,1.0,19.0868,39.0082,43.24,2.69964
23,2004-02-28,01:23:16.899912,51,1.0,19.0182,38.7357,43.24,2.68742
24,2004-02-28,01:23:46.545863,52,1.0,19.0182,38.7357,43.24,2.69964
25,2004-02-28,01:24:16.176842,53,1.0,19.0084,38.8039,43.24,2.69964
26,2004-02-28,01:26:16.656972,57,1.0,19.0084,38.9401,43.24,2.68742
27,2004-02-28,01:26:46.463293,58,1.0,19.0084,38.9401,43.24,2.69964
28,2004-02-28,01:28:46.483577,62,1.0,18.9986,38.9742,43.24,2.68742
29,2004-02-28,01:29:46.102532,64,1.0,19.0084,38.9742,43.24,2.69964
30,2004-02-28,01:30:46.454955,66,1.0,18.9888,39.0422,43.24,2.68742
31,2004-02-28,01:32:16.561857,69,1.0,18.9692,38.9401,43.24,2.69964
32,2004-02-28,01:32:46.312039,70,1.0,18.979,39.0763,43.24,2.69964
33,2004-02-28,01:33:46.446315,72,1.0,18.979,38.9742,43.24,2.68742
34,2004-02-28,01:34:46.258012,74,1.0,18.9692,38.9401,43.24,2.68742
35,2004-02-28,01:35:16.394184,75,1.0,18.9888,38.8039,43.24,2.69964
36,2004-02-28,01:36:16.806149,77,1.0,18.979,38.872,43.24,2.68742
37,2004-02-28,01:36:46.872566,78,1.0,18.9888,38.9061,43.24,2.69964
